Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDR39,OUT027,73.51985
FDP12,OUT027,15.319528
DRF60,OUT027,96.04211
FDC09,OUT035,41.15573
FDF50,OUT018,78.64226
FDG28,OUT035,97.911285
NCE19,OUT017,22.054028
NCM53,OUT010,42.810234
NCN18,OUT049,44.892754
FDF32,OUT035,79.75283
FDF11,OUT013,97.02243
DRI59,OUT049,90.74554
NCG54,OUT035,68.038376
FDM44,OUT046,40.938885
FDT57,OUT018,93.42927
FDV24,OUT046,61.15532
FDI50,OUT019,91.860344
FDS09,OUT035,20.648346
NCC31,OUT027,63.097496
FDQ07,OUT019,88.31894
FDC22,OUT017,76.7493
FDZ56,OUT046,68.104645
FDZ40,OUT019,21.657728
FDS46,OUT027,48.463875
DRD24,OUT045,56.511185
FDV45,OUT017,75.36001
FDL26,OUT045,62.36075
FDA56,OUT018,48.28881
FDN27,OUT046,47.389767
FDM20,OUT049,98.56896
FDO16,OUT017,33.10456
FDL03,OUT035,78.280876
FDE58,OUT046,47.003296
FDI02,OUT027,45.96382
NCC55,OUT019,15.627932
FDR03,OUT018,81.25714
FDB14,OUT017,36.561584
FDR45,OUT013,97.56544
NCN07,OUT017,51.65086
FDM51,OUT019,41.319443
FDT52,OUT027,99.35778
FDL26,OUT046,62.00127
NCZ42,OUT046,96.19163
DRI47,OUT019,58.90384
FDW40,OUT013,57.41295
FDN34,OUT046,68.09033
FDS01,OUT035,71.582146
NCG55,OUT045,46.576233
FDC11,OUT035,34.763016
FDX35,OUT018,89.80599
NCB06,OUT046,64.49514
FDR09,OUT019,104.68284
FDC53,OUT017,38.66363
FDY45,OUT013,103.08424
FDA22,OUT010,67.3509
FDE02,OUT035,38.34744
FDW21,OUT045,40.756977
FDV34,OUT046,29.84354
FDS59,OUT049,43.95916
NCW17,OUT017,50.81517
NCK54,OUT046,47.351112
FDG17,OUT019,98.44337
FDG35,OUT017,68.80504
FDD08,OUT010,14.73805
NCO07,OUT017,84.426704
FDJ10,OUT010,56.922676
FDW36,OUT017,41.435028
FDW21,OUT010,40.386658
FDY19,OUT017,46.771263
DRE03,OUT013,19.122099
NCC55,OUT049,15.490447
FDH52,OUT010,25.160473
FDO09,OUT017,105.70637
FDU43,OUT045,95.86798
FDX09,OUT010,69.92101
FDH40,OUT019,33.551018
FDW58,OUT017,41.289577
FDC47,OUT017,90.66043
NCR41,OUT035,37.73708
DRG49,OUT035,98.3548
FDC52,OUT027,62.150703
FDY13,OUT046,30.13852
FDY35,OUT013,17.920616
FDI35,OUT017,72.481804
NCU18,OUT049,56.931305
FDY33,OUT018,62.351486
FDC15,OUT027,64.212715
FDU01,OUT049,74.823166
NCU42,OUT046,68.446976
NCV29,OUT018,70.111984
NCY30,OUT017,72.781006
FDQ46,OUT049,45.378517
FDG58,OUT027,62.754997
FDK33,OUT017,84.9831
NCD07,OUT045,46.58085
NCX29,OUT027,58.983204
NCT42,OUT013,60.60743
DRN59,OUT035,18.350887
FDI44,OUT035,31.55498
FDA45,OUT049,71.44068
FDP31,OUT045,26.040277
FDY01,OUT046,46.516342
FDT09,OUT018,52.053215
DRH03,OUT027,38.982136
FDA36,OUT018,73.870415
NCF31,OUT017,61.29497
FDG14,OUT049,61.073544
FDG28,OUT027,99.598145
FDU14,OUT049,100.40536
FDY47,OUT019,52.981846
FDI56,OUT049,36.64823
DRD01,OUT013,23.322329
FDM22,OUT046,22.132364
FDH33,OUT013,17.350735
DRZ24,OUT013,48.56976
NCQ38,OUT046,42.385773
FDO16,OUT027,34.49855
FDU07,OUT027,60.886913
NCB07,OUT013,78.69255
FDU48,OUT045,52.838028
NCM43,OUT045,66.24939
FDR31,OUT010,57.75297
DRK49,OUT018,15.409422
NCI30,OUT010,97.53596
DRD60,OUT017,72.28466
NCG19,OUT046,94.45333
FDH12,OUT035,42.23776
FDM32,OUT035,36.498646
FDM27,OUT035,62.63905
NCU53,OUT027,67.59356
NCQ18,OUT046,39.951954
FDS10,OUT013,72.477005
FDB33,OUT027,64.19333
FDI12,OUT013,35.25929
NCW42,OUT013,89.54275
NCC06,OUT018,50.26007
FDW02,OUT017,50.39428
NCD43,OUT017,41.638252
FDM57,OUT018,32.179916
FDA58,OUT017,94.67912
FDK56,OUT046,74.64622
FDP52,OUT045,92.57944
FDW20,OUT018,48.30741
FDS52,OUT049,40.621933
NCT29,OUT018,46.92568
NCL54,OUT013,71.725
FDC05,OUT045,79.55598
FDF34,OUT035,79.05707
FDP03,OUT027,50.91304
FDD32,OUT010,32.751667
FDZ10,OUT045,51.01183
FDZ40,OUT035,21.796793
FDD51,OUT018,16.45485
NCY30,OUT019,72.50825
FDP58,OUT017,87.04009
FDV49,OUT017,105.65438
FDY24,OUT019,21.080128
NCO55,OUT017,42.665825
FDR13,OUT017,46.548058
FDS51,OUT017,24.494156
FDP26,OUT045,42.19426
NCB54,OUT027,52.86284
FDF32,OUT017,78.56652
FDN31,OUT018,74.683975
DRM48,OUT017,14.170171
FDN20,OUT049,67.834656
DRL01,OUT046,93.70887
FDV56,OUT049,43.15376
DRH13,OUT027,44.22357
FDA03,OUT017,57.887276
FDF47,OUT027,90.88413
FDX32,OUT046,58.981667
FDX57,OUT049,38.777367
NCA30,OUT045,76.29914
FDO49,OUT013,20.373987
FDL04,OUT019,42.43083
DRM48,OUT035,14.868935
FDR16,OUT013,86.26829
NCC19,OUT018,76.26366
NCE42,OUT045,94.24287
FDY24,OUT017,21.947655
FDH19,OUT049,70.41224
FDJ46,OUT013,70.45672
FDN45,OUT010,89.45362
FDY08,OUT035,56.271965
FDZ37,OUT035,34.933125
NCT30,OUT045,19.12843
DRY23,OUT018,15.889569
NCZ30,OUT018,47.85884
FDC44,OUT018,44.18771
FDB45,OUT035,41.701252
FDY04,OUT013,66.15981
FDM27,OUT046,64.05599
FDZ43,OUT017,96.40623
FDT39,OUT019,60.894264
NCC06,OUT019,51.224
FDL15,OUT027,62.634663
FDL57,OUT017,102.80227
FDU08,OUT046,39.934013
FDK40,OUT017,105.64855
FDQ12,OUT010,91.474205
FDS48,OUT017,60.196636
FDP09,OUT045,84.875824
FDW21,OUT049,40.224747
FDY25,OUT035,72.6607
DRE13,OUT017,34.25502
FDV43,OUT019,17.10054
FDD22,OUT045,44.946342
FDM46,OUT019,37.37595
NCO30,OUT010,73.618004
FDM25,OUT046,70.07363
NCN41,OUT049,49.406433
FDU24,OUT045,37.670677
FDZ50,OUT046,74.00932
FDP45,OUT013,101.664024
NCM54,OUT045,50.521027
FDW10,OUT019,70.744576
FDP20,OUT017,50.721207
FDK32,OUT046,60.79319
FDN52,OUT049,35.515697
FDM58,OUT045,44.46759
FDZ46,OUT027,45.360123
NCA18,OUT018,45.923462
FDD35,OUT046,49.172684
NCK31,OUT035,19.889374
FDI40,OUT027,41.22967
FDT50,OUT019,39.483063
NCT06,OUT046,66.27969
FDT31,OUT035,75.15104
FDT45,OUT049,21.254917
FDT13,OUT045,75.023705
FDO50,OUT045,36.386204
NCU18,OUT010,56.055298
NCR54,OUT049,78.4078
NCO18,OUT018,70.312416
FDU09,OUT045,22.767836
FDT13,OUT018,73.94103
FDE09,OUT046,45.423096
NCK53,OUT019,40.856285
FDG45,OUT049,85.91579
DRH15,OUT035,18.23859
FDO21,OUT019,90.34319
FDD14,OUT027,74.953606
FDC09,OUT046,41.39976
FDH45,OUT027,18.007778
FDV32,OUT046,26.458899
FDG12,OUT035,48.01636
FDS32,OUT013,56.878426
NCL55,OUT018,99.534065
DRE01,OUT035,97.79327
DRE15,OUT049,31.138012
NCL42,OUT045,98.917366
FDP31,OUT013,25.85784
FDN33,OUT018,36.565784
FDZ59,OUT046,66.61739
FDE45,OUT010,71.14005
FDJ07,OUT013,48.467636
FDQ45,OUT018,72.89558
FDM33,OUT027,89.00152
FDO15,OUT010,29.754612
FDM46,OUT013,37.97825
FDR03,OUT045,82.46433
FDY49,OUT018,65.44517
FDQ60,OUT045,47.923225
FDW10,OUT049,70.61228
FDO51,OUT049,18.24351
FDJ40,OUT018,42.464153
FDS20,OUT018,71.99242
FDU45,OUT013,45.760044
FDV02,OUT035,67.83211
FDN09,OUT046,97.39669
NCM55,OUT027,75.99894
FDN23,OUT018,57.029915
FDY31,OUT010,58.038208
FDW03,OUT010,42.5884
FDD14,OUT046,73.58709
FDV23,OUT017,50.107445
DRI03,OUT045,70.80868
FDN13,OUT035,39.633255
FDF45,OUT027,24.706898
FDU46,OUT035,35.19525
FDB57,OUT049,89.21772
FDV12,OUT049,40.056282
FDQ58,OUT013,61.641304
NCA18,OUT017,46.26356
FDH52,OUT049,24.88311
FDM24,OUT018,59.24124
NCP43,OUT027,73.78362
NCO18,OUT019,71.25135
FDM32,OUT017,35.961086
NCL07,OUT017,14.889538
FDK03,OUT013,102.463486
FDP59,OUT017,40.424698
FDQ24,OUT049,100.66059
FDQ16,OUT018,42.571266
FDU44,OUT013,65.323
FDH28,OUT010,14.76501
FDV28,OUT019,14.313286
FDM22,OUT045,21.551937
FDR56,OUT046,78.85839
FDV39,OUT049,79.23908
FDU37,OUT019,32.47848
FDQ11,OUT010,102.66833
FDX02,OUT045,89.571266
NCS42,OUT018,36.13842
FDY57,OUT027,38.85433
FDB21,OUT049,97.373634
FDE28,OUT017,91.88061
FDQ55,OUT017,45.085148
FDA48,OUT049,89.52229
FDZ19,OUT045,70.15905
NCC43,OUT045,101.40366
NCV18,OUT046,33.339424
NCA42,OUT018,62.80254
FDY45,OUT046,102.92621
NCC30,OUT045,71.678894
FDM57,OUT013,34.964615
FDL09,OUT010,66.288155
FDB09,OUT027,51.0211
FDT44,OUT035,47.552177
NCT06,OUT027,66.99444
FDX26,OUT049,73.6086
FDK32,OUT013,62.124977
DRA12,OUT046,57.75098
FDO46,OUT010,75.087135
FDE52,OUT013,35.534885
NCH42,OUT045,92.53797
FDV08,OUT035,16.99023
FDB47,OUT018,83.37368
FDC28,OUT010,44.080704
FDD22,OUT046,45.985416
FDS07,OUT027,47.150253
DRI13,OUT045,87.050735
FDG32,OUT018,87.96552
FDU14,OUT017,99.80349
FDD28,OUT019,23.62914
NCP41,OUT017,43.505756
FDS08,OUT049,70.66465
FDX47,OUT045,63.440792
FDC53,OUT019,40.538097
FDQ19,OUT035,96.866905
FDL14,OUT045,62.33932
FDM33,OUT019,89.14913
FDA51,OUT045,45.626907
FDZ27,OUT018,18.51392
FDT04,OUT046,16.445301
DRC13,OUT049,50.56004
FDR16,OUT027,87.23621
FDQ03,OUT027,95.86786
FDE38,OUT035,67.490074
DRH23,OUT027,23.646069
FDT11,OUT019,75.772835
FDD09,OUT035,72.05716
FDR40,OUT045,33.04339
FDX07,OUT017,73.04632
FDR07,OUT035,38.60589
FDA51,OUT017,45.622925
FDT59,OUT019,92.81394
FDF20,OUT017,77.8478
FDR13,OUT045,46.228325
FDY26,OUT049,84.333916
FDW04,OUT017,51.852417
FDK52,OUT017,90.4261
FDN60,OUT049,63.194096
FDM09,OUT019,68.97809
FDP46,OUT049,35.334305
FDB50,OUT019,31.895643
NCQ29,OUT049,104.05851
FDP16,OUT027,99.52057
FDX33,OUT018,63.558228
FDP07,OUT010,77.808945
FDN22,OUT046,100.82351
FDF39,OUT049,105.12098
FDS21,OUT017,23.77824
NCM42,OUT013,44.028095
FDK50,OUT019,65.99078
DRF13,OUT027,60.07617
FDH35,OUT018,64.396484
FDP60,OUT018,38.597668
DRJ49,OUT027,53.30464
NCT42,OUT019,59.93675
FDE38,OUT049,67.6956
FDI04,OUT049,79.901726
NCH54,OUT045,63.375076
FDT56,OUT049,23.643433
DRD15,OUT018,92.10314
FDV58,OUT013,78.32914
FDP21,OUT049,75.46961
FDH05,OUT013,94.20867
FDR10,OUT027,65.85682
NCP06,OUT045,59.762093
FDF33,OUT049,43.086792
DRK37,OUT013,76.763885
DRH49,OUT045,33.66043
FDT58,OUT013,68.143074
FDD41,OUT018,40.878426
FDP40,OUT018,43.36514
FDM51,OUT027,41.699696
FDO45,OUT010,34.207848
FDW33,OUT010,42.411743
FDY24,OUT045,21.99874
FDB10,OUT010,94.93089
FDM40,OUT035,56.91953
NCI06,OUT017,72.228424
FDW12,OUT019,57.991394
FDX48,OUT027,63.191868
NCW05,OUT027,43.894413
FDX27,OUT017,37.561512
DRM37,OUT045,79.56046
FDA38,OUT045,97.09947
FDR36,OUT046,16.434536
FDZ45,OUT046,79.97766
FDG05,OUT017,63.255207
FDK28,OUT013,104.792
FDV47,OUT045,34.254997
FDN21,OUT045,64.23657
FDP20,OUT027,51.99202
FDI35,OUT045,72.89939
DRY23,OUT013,18.109497
FDA56,OUT017,48.98955
FDB09,OUT013,50.038807
NCO26,OUT027,48.054527
FDQ49,OUT018,61.404495
FDI52,OUT027,50.045635
FDZ44,OUT027,48.059853
FDZ09,OUT018,64.582825
FDY03,OUT049,45.449295
NCG42,OUT017,51.588852
DRI13,OUT027,88.66304
FDQ32,OUT013,50.99893
FDW16,OUT035,36.36235
FDU27,OUT046,18.755917
FDR28,OUT010,64.908585
FDQ49,OUT010,62.831894
FDS37,OUT046,47.036613
FDW26,OUT018,87.232315
FDX12,OUT018,95.32225
NCP06,OUT013,61.031353
FDW45,OUT010,57.689724
NCN30,OUT049,38.03391
FDN24,OUT049,21.322542
NCL41,OUT027,13.926424
FDR02,OUT019,44.201256
FDD09,OUT010,72.14264
FDS33,OUT010,34.515255
FDU22,OUT045,48.023804
FDI53,OUT013,66.17568
DRH01,OUT049,70.68488
FDX32,OUT013,58.09675
NCP30,OUT018,14.6178255
FDB60,OUT045,78.71105
FDB14,OUT049,37.40808
NCP02,OUT035,23.488022
FDJ10,OUT017,56.18373
FDG34,OUT046,44.669273
NCB18,OUT017,34.689342
FDM16,OUT049,30.144924
FDW25,OUT018,32.815285
FDB35,OUT010,36.20814
DRN11,OUT013,58.53652
FDF41,OUT019,99.99661
FDH16,OUT045,35.46858
NCQ50,OUT018,83.860725
DRH23,OUT018,21.790071
DRJ37,OUT013,61.92833
DRJ24,OUT027,75.29613
FDY16,OUT035,73.41736
FDQ27,OUT045,42.50649
FDZ33,OUT045,59.719505
FDF29,OUT045,52.673332
FDA08,OUT049,65.73485
FDG31,OUT046,26.3406
FDE34,OUT019,73.97775
NCR30,OUT027,30.386898
FDV33,OUT035,103.59663
DRZ24,OUT018,47.30214
NCL54,OUT035,69.62294
FDR12,OUT049,69.61279
NCC54,OUT046,97.162735
DRN59,OUT013,18.855495
FDX50,OUT019,44.528046
FDV31,OUT027,72.63535
NCA29,OUT027,70.42548
FDW60,OUT049,71.4245
FDX08,OUT017,72.78631
DRD49,OUT013,95.883736
FDD33,OUT046,93.011314
FDW35,OUT013,17.468615
FDJ36,OUT017,40.890427
FDV51,OUT035,66.6359
FDW36,OUT046,43.020363
FDH35,OUT046,66.39173
NCS30,OUT027,53.556946
FDN49,OUT017,14.890801
FDL08,OUT018,97.47168
FDI09,OUT013,96.918
FDP19,OUT018,50.767853
FDU21,OUT010,12.681472
NCP41,OUT045,43.130272
FDY10,OUT013,45.698986
FDP12,OUT018,13.544291
NCN26,OUT049,46.89158
FDK44,OUT013,70.68366
FDC28,OUT049,44.155357
FDJ41,OUT027,106.69303
NCT29,OUT035,49.605377
NCH42,OUT019,92.09645
FDU60,OUT018,65.63286
FDS02,OUT045,77.59392
FDC51,OUT046,49.738895
FDU03,OUT013,73.92216
FDX39,OUT045,84.92721
NCY05,OUT010,14.091811
NCL06,OUT027,105.39604
FDD32,OUT035,31.934502
NCN41,OUT045,49.181267
NCX53,OUT049,56.79575
FDU57,OUT019,60.52666
FDQ23,OUT046,42.208237
FDQ52,OUT045,99.744576
FDC14,OUT045,15.996609
FDY09,OUT035,70.83503
FDQ28,OUT045,62.78198
FDV25,OUT046,89.13506
FDJ07,OUT035,46.8107
DRB25,OUT049,42.888515
FDK52,OUT019,90.847305
FDY52,OUT027,26.024422
FDB28,OUT046,79.81414
FDT36,OUT035,14.3935585
FDV25,OUT017,88.88595
NCN07,OUT027,53.347523
FDC57,OUT017,76.93416
FDQ03,OUT018,93.64802
FDU23,OUT017,66.675
NCX41,OUT035,85.108864
NCD06,OUT035,18.686811
FDW08,OUT045,42.851433
NCU29,OUT017,58.007515
NCE06,OUT013,65.68218
FDV52,OUT010,46.627846
FDB02,OUT017,70.58017
NCR18,OUT045,17.07019
FDK16,OUT049,38.19657
NCQ29,OUT010,103.36516
FDZ01,OUT019,41.82166
FDW27,OUT035,63.209686
FDD17,OUT018,94.31822
FDW39,OUT013,71.93281
DRH59,OUT045,29.309843
FDS52,OUT013,41.651623
FDU40,OUT027,79.40042
NCF54,OUT013,70.35186
FDH46,OUT045,41.501392
NCP14,OUT049,41.966003
FDH50,OUT049,74.48272
DRF15,OUT010,61.111454
FDV27,OUT027,35.9334
NCJ06,OUT049,48.21633
FDN02,OUT018,81.06775
FDQ51,OUT049,18.412548
FDQ07,OUT017,88.873344
FDS45,OUT049,42.687527
NCJ06,OUT045,48.439342
FDD36,OUT035,47.016747
FDY25,OUT045,73.29555
FDU52,OUT046,62.607418
DRK47,OUT017,90.88727
NCL30,OUT017,51.021736
FDN22,OUT035,100.80415
NCF30,OUT027,51.6422
FDK03,OUT035,102.74342
FDT45,OUT017,21.629282
NCC54,OUT027,97.23649
FDP08,OUT018,76.916275
FDU44,OUT046,65.81267
DRG39,OUT035,21.165129
FDU32,OUT049,49.277153
FDY27,OUT049,72.04432
NCP54,OUT013,50.075184
NCZ41,OUT049,50.751465
DRL49,OUT013,58.45348
FDI05,OUT018,29.647747
FDY56,OUT045,90.7703
DRC13,OUT013,51.215687
NCV29,OUT017,71.69814
FDR24,OUT049,35.738415
FDZ34,OUT018,75.716194
FDP37,OUT035,50.65105
FDX08,OUT027,73.65011
FDS57,OUT045,56.68066
NCG18,OUT049,41.25001
FDK25,OUT018,66.60037
FDH53,OUT049,32.380207
DRI59,OUT018,88.392456
FDA52,OUT046,71.28009
FDT20,OUT010,14.830278
FDE36,OUT019,65.655014
FDI24,OUT017,69.77164
FDB28,OUT018,78.86269
FDV11,OUT017,70.69695
FDP01,OUT046,61.88612
FDD34,OUT027,65.92278
FDJ50,OUT027,21.533497
FDZ44,OUT013,48.49552
DRO59,OUT035,30.522802
DRB48,OUT045,15.628423
FDR21,OUT018,68.911575
NCE42,OUT010,93.53814
FDO23,OUT046,37.517784
NCE30,OUT018,83.878265
FDQ22,OUT035,14.873475
FDY01,OUT045,46.359695
FDS08,OUT017,71.15032
FDG28,OUT018,97.817955
FDQ51,OUT018,18.095951
FDB05,OUT017,99.84363
FDO56,OUT049,47.101746
FDE02,OUT018,35.849754
FDN45,OUT017,88.90742
FDS09,OUT013,20.324684
NCA54,OUT018,71.478806
FDP09,OUT010,84.72794
FDC53,OUT045,39.898487
NCM55,OUT017,74.39189
FDL09,OUT018,66.42254
FDA11,OUT019,37.614704
FDA50,OUT045,37.8178
FDC23,OUT017,71.24735
FDE22,OUT049,64.07312
FDD23,OUT046,75.36919
NCA29,OUT049,69.62101
FDK38,OUT046,59.47438
DRC13,OUT046,49.36353
NCP43,OUT049,71.980286
FDX28,OUT049,40.413956
FDF08,OUT049,36.21725
FDZ33,OUT046,60.329456
FDD10,OUT049,71.66334
FDO58,OUT017,64.57975
FDI50,OUT017,92.03541
FDO58,OUT045,66.30721
FDX08,OUT013,73.46365
NCK17,OUT010,15.889366
FDF39,OUT035,105.0304
FDU45,OUT010,44.45966
NCJ18,OUT018,46.02498
DRC27,OUT019,99.329735
DRC25,OUT035,34.5052
FDU59,OUT035,64.6491
FDU28,OUT035,75.87664
NCP30,OUT046,16.245193
FDB39,OUT018,20.992554
FDE41,OUT013,35.503345
DRH11,OUT010,22.42819
FDA58,OUT045,94.78536
FDU50,OUT046,46.786777
FDM34,OUT013,52.536205
FDM44,OUT027,41.78853
FDR39,OUT045,73.52454
FDM25,OUT045,70.57934
FDQ49,OUT049,62.78019
DRH25,OUT018,19.745811
FDM09,OUT027,69.669365
FDL44,OUT019,65.06926
NCR42,OUT018,12.020482
DRL59,OUT046,21.225546
FDX43,OUT013,68.646286
DRK47,OUT010,90.72528
FDU48,OUT018,51.47007
FDY12,OUT045,20.224312
NCN43,OUT018,48.042152
NCM55,OUT018,72.56579
FDQ21,OUT027,50.36061
FDX13,OUT035,100.77531
NCK30,OUT027,102.755806
FDG20,OUT049,70.519615
DRG27,OUT017,15.926399
FDY14,OUT018,104.81222
FDP59,OUT035,40.97735
FDU60,OUT017,67.25466
NCC18,OUT019,69.514885
DRJ39,OUT017,86.95966
FDS07,OUT049,45.7343
FDM08,OUT027,90.36862
FDP51,OUT045,48.323185
FDU16,OUT035,32.66896
FDH12,OUT013,43.56465
DRE48,OUT010,78.39217
NCL42,OUT027,99.12782
FDR21,OUT045,71.06514
NCW29,OUT035,52.730278
FDO11,OUT013,101.561676
NCM31,OUT049,57.12508
FDV35,OUT019,62.723907
FDF58,OUT017,24.3511
NCE43,OUT049,68.11758
FDA02,OUT035,57.713074
DRL37,OUT010,17.217854
FDR24,OUT018,35.325996
FDW59,OUT049,33.358124
FDS22,OUT049,17.918404
FDW24,OUT017,19.777555
FDU24,OUT035,38.207603
FDA21,OUT027,75.88311
FDH58,OUT027,47.85871
FDW36,OUT018,40.53922
FDI45,OUT027,70.50106
FDU01,OUT018,73.10415
FDF35,OUT027,44.690376
FDU43,OUT019,95.713135
FDE24,OUT019,58.240784
FDK50,OUT049,65.77112
FDG31,OUT045,25.305626
FDC60,OUT045,36.49062
FDL36,OUT013,36.751934
FDP21,OUT013,77.10808
FDW16,OUT045,36.22224
FDX02,OUT017,89.62832
FDQ58,OUT027,62.866833
FDT51,OUT046,44.764526
FDD59,OUT049,31.971252
NCM42,OUT018,42.818813
FDA57,OUT018,14.863145
FDZ48,OUT035,44.78951
FDE46,OUT045,61.00199
NCZ30,OUT019,48.831295
FDB56,OUT017,75.25266
FDA25,OUT027,42.84226
FDD20,OUT013,50.930542
FDL25,OUT013,38.028885
NCO18,OUT049,71.28559
FDJ45,OUT017,13.511304
FDR12,OUT035,68.371925
NCF19,OUT010,18.41891
FDK25,OUT046,67.13519
NCR17,OUT046,46.1598
FDC52,OUT046,61.286686
NCA54,OUT017,72.26352
FDR45,OUT010,95.66328
NCM19,OUT049,45.71833
FDF39,OUT027,106.810974
FDX23,OUT049,39.15295
FDD58,OUT027,40.841003
FDX28,OUT013,41.298355
NCD31,OUT013,66.10509
